customer_id,full_name,email,phone,age,gender,registration_date,last_purchase_date,total_spent,purchase_frequency,preferred_category,loyalty_tier,country,city,subscription_status
CUST_000034,Pamela Cline,bclark@example.net,288-406-5252x3415,36,Male,2023-05-12,2025-05-28,7597.52,Weekly,Clothing,Platinum,Germany,Hamburg,Active
CUST_000035,Kathy Robinson,andrew55@example.com,+1-679-295-3499x454,27,Male,2025-05-27,2025-06-14,3261.54,Quarterly,Clothing,Platinum,UK,London,Active
CUST_000036,Peter Mcdonald,bishopnatalie@example.net,625-364-6236,40,Male,2025-01-11,2025-01-23,1997.18,Monthly,Sports,Gold,USA,New York,Active
CUST_000037,Brandi Huffman,nancy94@example.com,3499345494,29,Female,2024-09-06,2024-09-26,5838.9,Monthly,Sports,Platinum,Canada,Calgary,Active
CUST_000038,Ryan Hernandez,freilly@example.org,448.791.5420x865,31,Female,2021-10-03,2024-08-25,16273.49,Weekly,Electronics,Platinum,USA,Phoenix,Active
CUST_000039,Jacqueline Adams,clarkbryan@example.org,9119282645,36,Female,2021-04-27,2024-12-06,536.52,Rarely,Electronics,Silver,UK,Birmingham,Active
CUST_000040,Lisa Krause,ngraham@example.com,+1-978-207-2658,31,Female,2023-09-25,2024-11-28,7930.41,Monthly,Books,Platinum,Canada,Calgary,Active
CUST_000041,Timothy Jones,oroberts@example.net,+1-640-352-1405x244,47,Female,2021-04-03,2024-09-24,2166.72,Quarterly,Home,Gold,Australia,Brisbane,Active
CUST_000042,Andrea Bates,dickersoncharles@example.org,(308)608-8473x8092,80,Female,2022-08-13,2025-01-17,4100.19,Quarterly,Clothing,Platinum,UK,Leeds,Active
CUST_000043,Morgan Warner,lauramarquez@example.org,001-770-219-5016,40,Male,2021-07-08,2025-03-06,6986.15,Monthly,Electronics,Platinum,Germany,Berlin,Active
CUST_000044,Natalie Garza,xcain@example.org,514-648-1544x633,44,Female,2024-08-04,2024-09-26,1917.06,Quarterly,Home,Gold,UK,Manchester,Inactive
CUST_000045,Sandra Parker,christopherwilliams@example.net,3567886170,44,Male,2020-07-06,2024-11-17,16126.41,Weekly,Clothing,Platinum,Australia,Sydney,Inactive
CUST_000046,Hayley Green,zcarter@example.net,(878)449-4796x3946,66,Male,2021-03-25,2024-12-30,598.54,Rarely,Clothing,Silver,UK,Manchester,Inactive
CUST_000047,Lawrence Gibson,donna91@example.net,545-624-9448,37,Other,2021-09-30,2025-05-24,3989.76,Quarterly,Sports,Platinum,Germany,Frankfurt,Active
CUST_000048,April Morales,pamela78@example.net,631.755.5646x6700,30,Female,2025-06-03,2025-07-05,838.03,Quarterly,Clothing,Silver,USA,Phoenix,Active
CUST_000049,Laurie Swanson,rebecca11@example.org,2207239191,64,Female,2023-07-02,2025-05-22,354.6,Rarely,Electronics,Bronze,Canada,Toronto,Active
CUST_000050,Jason White,chenry@example.com,344.627.9815x98064,65,Male,2023-07-19,2024-12-04,4986.93,Quarterly,Electronics,Platinum,USA,Houston,Inactive
CUST_000051,Michael Collins,crystal66@example.net,473.756.3955,36,Male,2023-07-23,2025-03-28,4440.54,Quarterly,Books,Platinum,Germany,Hamburg,Active
CUST_000052,Pamela Morris,rgonzalez@example.net,+1-645-269-9354x09173,33,Female,2021-09-20,2025-03-08,5009.09,Monthly,Home,Platinum,Australia,Brisbane,Inactive
CUST_000053,Jordan Collins,sarahhuber@example.com,740-915-4115,32,Female,2020-10-25,2024-09-01,1308.68,Quarterly,Electronics,Silver,Germany,Frankfurt,Active
CUST_000054,Cody Nicholson,mitchellmelissa@example.org,(862)220-3949x9185,61,Male,2024-04-30,2024-10-29,467.86,Monthly,Clothing,Bronze,Germany,Hamburg,Inactive
CUST_000055,Michael Davidson,tfreeman@example.net,001-521-589-4142,37,Male,2022-08-20,2024-12-13,9684.01,Weekly,Clothing,Platinum,UK,Leeds,Active
CUST_000056,Brittney Best,jamieduncan@example.org,913.224.5634x35673,43,Male,2022-05-22,2024-07-15,187.42,Quarterly,Home,Bronze,UK,London,Inactive
CUST_000057,Jordan Berger,natalie49@example.org,(949)909-0533,41,Female,2023-09-23,2025-04-09,6480.29,Monthly,Clothing,Platinum,Canada,Montreal,Active
CUST_000058,Brenda Ramirez,jasmine91@example.net,4427166001,34,Female,2025-01-29,2025-06-09,5892.87,Monthly,Sports,Platinum,Australia,Melbourne,Active
CUST_000059,Tyler Love,christopherclark@example.com,001-837-499-1212x63842,18,Female,2020-08-24,2024-09-24,2416.66,Quarterly,Sports,Gold,Germany,Frankfurt,Active
CUST_000060,Joel Obrien,doris96@example.net,747.230.5752,45,Female,2021-10-18,2025-04-03,8088.42,Monthly,Clothing,Platinum,Canada,Calgary,Active
CUST_000061,Samantha Flynn,rclark@example.com,(407)327-0247x6109,36,Female,2024-03-22,2024-12-07,598.3,Rarely,Home,Silver,UK,London,Active
CUST_000062,Lacey Turner,rebeccaromero@example.net,258.628.8436,74,Female,2022-08-16,2024-07-07,6182.87,Monthly,Books,Platinum,Germany,Cologne,Churned
CUST_000063,Wendy Johnson,fitzgeraldcaitlin@example.net,(355)841-2289x788,80,Female,2020-08-09,2024-10-30,1107.52,Rarely,Electronics,Silver,UK,Birmingham,Active
CUST_000064,Karen Moon,hgreen@example.com,(737)624-4897x4372,18,Male,2021-02-23,2024-11-15,18701.45,Weekly,Clothing,Platinum,Germany,Munich,Inactive
CUST_000065,Richard Johns,webbmelissa@example.com,(658)408-1265,57,Female,2022-12-31,2024-07-09,9543.17,Monthly,Sports,Platinum,Germany,Cologne,Active
CUST_000066,Jeffrey Davis,kenneth43@example.com,545-308-6345,19,Male,2022-11-24,2024-09-19,8054.86,Monthly,Home,Platinum,UK,London,Active
CUST_000067,Brandon Wilkinson,derekwilson@example.com,810-579-9486x9705,42,Male,2020-12-22,2024-11-28,734.21,Quarterly,Home,Silver,Australia,Sydney,Active
CUST_000068,Arthur Young,saraelliott@example.org,+1-221-723-1246x04198,30,Female,2021-08-16,2024-12-08,1056.45,Rarely,Clothing,Silver,USA,Houston,Active
CUST_000069,Kimberly Anderson,thomaspage@example.net,472.776.2294x50604,56,Male,2021-12-03,2025-07-05,12349.96,Weekly,Home,Platinum,UK,Glasgow,Active
CUST_000070,Derek Miller,ttravis@example.com,787-414-4205,30,Female,2024-03-05,2024-09-27,1393.87,Rarely,Home,Silver,Australia,Melbourne,Churned
CUST_000071,Mia Freeman,sullivanedward@example.net,442-967-3140x83862,18,Male,2021-06-18,2024-07-06,9103.83,Monthly,Books,Platinum,Germany,Berlin,Inactive
CUST_000072,Karen Mitchell,nelsonjulia@example.org,(643)590-8482x123,46,Male,2023-02-17,2024-10-29,350.35,Quarterly,Clothing,Bronze,USA,Chicago,Inactive
CUST_000073,Christina Wade,cynthia57@example.com,429.631.5725x22484,30,Male,2024-12-25,2025-05-03,2285.18,Monthly,Clothing,Gold,UK,Leeds,Active
CUST_000074,William Bond,bhardy@example.org,(542)825-4165x0118,50,Male,2023-12-18,2025-01-29,4237.75,Quarterly,Clothing,Platinum,Australia,Adelaide,Inactive
CUST_000075,Dorothy Walker,ujackson@example.com,8929308398,41,Female,2022-12-10,2024-10-23,285.34,Monthly,Clothing,Bronze,Australia,Brisbane,Active
CUST_000076,Tracy Parsons,jennyfry@example.org,461.496.9068x816,29,Male,2021-08-04,2025-01-11,16640.25,Weekly,Books,Platinum,UK,Birmingham,Active
CUST_000077,Kimberly Thomas,hfranco@example.net,001-245-480-6540x3164,45,Male,2023-10-29,2025-03-21,3322.86,Weekly,Sports,Platinum,USA,Chicago,Inactive
CUST_000078,Kari Baker,gerald11@example.net,+1-282-262-6195x0626,37,Male,2025-05-01,2025-05-18,2583.92,Quarterly,Electronics,Gold,Canada,Calgary,Inactive
CUST_000079,Alexandria Jordan,bhaas@example.com,737-630-5250x66931,45,Female,2025-03-10,2025-07-03,4894.47,Quarterly,Sports,Platinum,Canada,Ottawa,Active
CUST_000080,Crystal Oconnell,kennethstephens@example.com,684.324.2921x777,26,Female,2020-11-20,2024-08-25,11230.03,Weekly,Clothing,Platinum,USA,Phoenix,Churned
CUST_000081,Jonathan Fisher,jonesraymond@example.com,727-399-5790,46,Female,2024-04-11,2024-09-12,424.24,Monthly,Clothing,Bronze,Australia,Adelaide,Active
CUST_000082,Kevin Villegas,jessicatucker@example.org,9133821291,24,Female,2022-03-05,2024-09-10,1393.19,Rarely,Sports,Silver,Germany,Berlin,Active
CUST_000083,Diana Nolan,owilliams@example.com,626.895.1357,47,Male,2025-06-26,2025-07-04,1216.78,Rarely,Home,Silver,Canada,Ottawa,Active
CUST_000084,Sarah Davenport,hwarren@example.com,+1-362-378-8631x7799,20,Female,2021-07-06,2024-12-23,1784.41,Quarterly,Clothing,Gold,Australia,Melbourne,Active
CUST_000085,Raymond Jones,howellbarbara@example.com,+1-727-430-5040,46,Male,2022-01-04,2025-03-27,1628.49,Quarterly,Home,Gold,Germany,Hamburg,Active
CUST_000086,David Warren,sheri38@example.net,771.320.0155,72,Female,2025-06-20,2025-06-21,1210.23,Rarely,Books,Silver,UK,Birmingham,Churned
CUST_000087,David Green,thomasjeffery@example.com,366.957.3265x87695,34,Female,2024-08-27,2025-07-05,2892.64,Quarterly,Books,Gold,UK,Birmingham,Active
CUST_000088,Tracey Harris,heather21@example.org,958-388-9126x74592,36,Male,2022-09-04,2024-09-30,5889.62,Monthly,Sports,Platinum,Germany,Cologne,Churned
CUST_000089,Evelyn Harrison,aherring@example.net,+1-325-704-5759x9902,18,Female,2024-09-05,2025-05-26,9081.14,Monthly,Home,Platinum,Canada,Montreal,Active
CUST_000090,Kayla Walker,anthony44@example.org,402.373.9535,28,Female,2022-12-21,2025-03-11,3019.56,Quarterly,Books,Platinum,Canada,Vancouver,Inactive
CUST_000091,Gail Scott,kharris@example.net,(713)402-1329x39515,58,Male,2024-06-22,2025-01-04,12036.61,Weekly,Clothing,Platinum,USA,Los Angeles,Active
CUST_000092,Cynthia Jones,wperez@example.net,+1-900-691-4584x514,41,Male,2024-07-25,2025-04-28,3038.95,Quarterly,Clothing,Platinum,Australia,Adelaide,Churned
CUST_000093,Ryan Garcia,gscott@example.com,891-484-4478x49339,56,Male,2022-04-09,2025-05-07,7972.78,Monthly,Home,Platinum,Australia,Adelaide,Active
CUST_000094,Albert Woodward,tbrown@example.com,427.239.0512x4070,55,Male,2024-10-30,2025-01-11,895.5,Quarterly,Electronics,Silver,USA,Los Angeles,Inactive
CUST_000095,Jason Harvey,walter77@example.com,8469291033,49,Male,2021-04-04,2024-08-03,2932.7,Monthly,Electronics,Gold,UK,Manchester,Inactive
CUST_000096,Dana Daniels,alecgarcia@example.com,+1-977-789-3421x264,29,Male,2021-07-03,2024-09-16,7689.61,Monthly,Sports,Platinum,Australia,Perth,Active
CUST_000097,Jennifer Marsh,tgonzales@example.com,(310)965-5024,38,Male,2025-05-02,2025-06-05,4882.92,Quarterly,Books,Platinum,USA,Los Angeles,Churned
CUST_000098,Connor Lee,keithcole@example.org,514.493.1922x80433,32,Female,2023-05-30,2024-07-17,3137.18,Monthly,Electronics,Platinum,UK,Manchester,Active
CUST_000099,Carla Lucas,christopheranderson@example.com,209-357-8095x62421,19,Female,2022-04-01,2025-03-30,3791.55,Monthly,Sports,Platinum,Germany,Hamburg,Active
CUST_000100,Joshua Berg,johnsonjoshua@example.org,001-251-750-2566x9416,67,Female,2025-02-03,2025-03-20,129.5,Quarterly,Clothing,Bronze,USA,New York,Active
CUST_000101,Katelyn Hall,gary89@example.org,3488932930,46,Male,2023-05-20,2025-01-13,726.03,Quarterly,Electronics,Silver,UK,London,Churned
CUST_000102,Christopher Simon,ryan40@example.com,490.430.7146x11351,18,Female,2025-05-27,2025-06-02,4726.63,Quarterly,Sports,Platinum,UK,London,Churned
CUST_000103,Tiffany Perkins,petersonsherry@example.net,558.341.1995,18,Other,2022-02-10,2025-05-01,600.4,Quarterly,Clothing,Silver,Canada,Montreal,Inactive
CUST_000104,Vickie Barrett,charles23@example.com,+1-715-984-9481x674,31,Male,2023-06-20,2024-07-11,786.28,Rarely,Sports,Silver,Germany,Munich,Active
CUST_000105,Mercedes Freeman,dpope@example.org,571-584-6160,33,Other,2025-05-13,2025-05-31,803.78,Rarely,Electronics,Silver,Germany,Munich,Churned
CUST_000106,Ian Morton,lauraprice@example.com,4516374840,21,Female,2021-10-12,2025-02-13,2802.61,Quarterly,Sports,Gold,Germany,Cologne,Active
CUST_000107,Kristi Bauer,allenbrandy@example.net,001-364-654-9131x7849,62,Male,2022-07-11,2025-04-14,7692.44,Weekly,Books,Platinum,UK,Manchester,Churned
CUST_000108,Cheryl Rodriguez,andreahernandez@example.net,554-295-9048x929,61,Female,2022-03-03,2025-06-27,3369.68,Quarterly,Home,Platinum,Australia,Brisbane,Inactive
CUST_000109,Anne Williams,millermichelle@example.net,+1-446-810-1139x486,52,Female,2024-09-15,2025-03-04,269.56,Rarely,Electronics,Bronze,UK,London,Active
CUST_000110,Erica Barnett,stevenkelly@example.com,772-814-4945x21207,54,Male,2024-01-11,2024-09-14,2531.94,Quarterly,Clothing,Gold,UK,Birmingham,Inactive
CUST_000111,Jamie Obrien,bberg@example.com,779-814-6214,44,Male,2025-02-09,2025-07-02,2858.69,Quarterly,Electronics,Gold,UK,Glasgow,Active
CUST_000112,Jasmine Peterson,christopher47@example.net,(540)622-8082x1565,18,Male,2024-10-02,2025-05-30,1498.1,Rarely,Home,Silver,USA,New York,Active
CUST_000113,Joseph Griffin,jennifer74@example.com,330-561-0678x51502,35,Male,2022-07-23,2025-01-22,1125.25,Rarely,Home,Silver,Canada,Ottawa,Churned
CUST_000114,Mia Mason,jasontaylor@example.org,213.629.4825,52,Male,2024-05-27,2025-03-21,98.88,Rarely,Electronics,Bronze,UK,Glasgow,Inactive
CUST_000115,Angela Dalton,mcfarlandmatthew@example.org,(408)227-2337x6973,34,Female,2022-05-26,2024-11-14,3466.13,Quarterly,Books,Platinum,USA,Los Angeles,Active
CUST_000116,Dr. Xavier Baldwin,michael95@example.net,881-374-4065x99486,18,Male,2020-11-12,2024-07-27,753.88,Rarely,Books,Silver,Germany,Berlin,Inactive
CUST_000117,Jeffrey Davis,gconway@example.net,726-494-7591x139,38,Female,2022-09-24,2024-09-26,3003.73,Monthly,Clothing,Platinum,Australia,Perth,Active
CUST_000118,Emily Jones,marshthomas@example.com,740-526-5541,57,Female,2021-03-02,2025-06-21,1054.12,Rarely,Books,Silver,Canada,Montreal,Active
CUST_000119,Katie Hobbs,vlewis@example.net,937.882.8940x1328,39,Female,2020-08-28,2025-03-20,1322.44,Rarely,Clothing,Silver,Australia,Melbourne,Active
CUST_000120,Rebecca Martinez,nathan66@example.net,(960)404-8562,39,Male,2023-11-10,2025-02-14,8465.49,Weekly,Books,Platinum,USA,Houston,Active
CUST_000121,Justin Huerta,matasamuel@example.org,(604)575-7206,64,Female,2025-03-29,2025-06-15,3300.65,Monthly,Sports,Platinum,UK,Leeds,Inactive
CUST_000122,Teresa Brown,nkelley@example.com,+1-969-218-6463x45795,47,Male,2023-08-30,2025-03-17,767.35,Rarely,Electronics,Silver,Canada,Toronto,Active
CUST_000123,Debra Bentley,halldenise@example.org,3727841118,53,Female,2023-01-14,2025-01-26,2420.73,Quarterly,Clothing,Gold,USA,Houston,Active
CUST_000124,Rhonda Ellison,iwilliams@example.com,755-804-6502,18,Female,2022-03-27,2024-12-05,5472.49,Monthly,Clothing,Platinum,Australia,Melbourne,Active
CUST_000125,Timothy Johnson,sbell@example.com,790-305-3037x771,20,Male,2021-03-16,2024-09-18,3733.18,Quarterly,Home,Platinum,Germany,Munich,Churned
CUST_000126,Cindy Daniel,joelbooker@example.com,451-896-7514x03569,42,Female,2024-09-11,2024-11-25,2034.27,Monthly,Home,Gold,UK,Glasgow,Churned
CUST_000127,Jennifer Hatfield,lauren24@example.com,952.432.8233x3985,25,Male,2024-07-31,2025-05-18,9843.41,Weekly,Books,Platinum,Germany,Frankfurt,Inactive
CUST_000128,Kimberly Davis,linda05@example.com,463.959.5706,56,Female,2020-10-23,2025-02-14,4637.03,Quarterly,Sports,Platinum,Germany,Hamburg,Active
CUST_000129,Andrew Howard,mark96@example.net,336-466-8861x3573,46,Female,2025-05-13,2025-06-16,6085.55,Monthly,Electronics,Platinum,Canada,Vancouver,Active
CUST_000130,Amanda Hernandez,brian97@example.net,(967)472-9436x48584,42,Male,2024-02-17,2025-05-21,144.49,Rarely,Electronics,Bronze,Germany,Hamburg,Churned
CUST_000131,Cheryl Williams,ricky55@example.net,(269)987-0369x46017,34,Male,2022-06-21,2024-10-05,2185.4,Monthly,Electronics,Gold,Germany,Cologne,Active
CUST_000132,Jeffrey White,qrobinson@example.com,6216150778,33,Female,2023-03-12,2025-03-02,3756.93,Quarterly,Books,Platinum,USA,Chicago,Active
CUST_000133,Timothy Hill,kayla61@example.net,001-544-422-1511x53404,67,Male,2023-01-08,2025-03-26,900.11,Weekly,Home,Silver,USA,New York,Inactive
CUST_000134,Adam Mcneil,abbotttammy@example.com,247.569.7373x290,32,Male,2025-01-24,2025-07-04,8432.86,Monthly,Electronics,Platinum,USA,Phoenix,Active
CUST_000135,April Schneider,bscott@example.org,960.315.0071x03161,22,Male,2023-08-18,2025-02-28,2578.03,Quarterly,Books,Gold,UK,London,Active
CUST_000136,Belinda Stewart,leslie93@example.com,789-948-7765x6610,22,Female,2020-07-22,2024-09-24,3271.72,Quarterly,Electronics,Platinum,USA,Phoenix,Inactive
CUST_000137,Patricia Solis,ktucker@example.com,717-531-1194,50,Male,2024-02-18,2024-11-05,1279.44,Monthly,Books,Silver,USA,New York,Active
CUST_000138,Anthony Flores,huberanne@example.com,(837)926-1489,52,Male,2021-01-03,2025-07-01,6501.02,Monthly,Electronics,Platinum,UK,Birmingham,Active
CUST_000139,Angel Clark,annaduncan@example.net,279-967-9351x50850,27,Male,2020-09-11,2025-04-18,3448.12,Monthly,Books,Platinum,Germany,Berlin,Active
CUST_000140,Elizabeth Miller,johnsonzachary@example.com,740-577-1961x824,23,Female,2024-11-21,2025-02-01,687.36,Rarely,Sports,Silver,Germany,Berlin,Active
CUST_000141,Cody Anderson,lindaphillips@example.org,001-596-245-7547x4363,46,Male,2020-11-15,2024-09-23,716.55,Quarterly,Electronics,Silver,USA,New York,Active
CUST_000142,Leah Kirby,velasquezshirley@example.net,001-422-321-1886x63723,34,Male,2023-04-12,2024-10-15,2991.42,Quarterly,Clothing,Gold,UK,Manchester,Active
CUST_000143,Zachary Baker,john48@example.net,986.555.5893x9788,30,Male,2025-03-11,2025-03-31,9339.2,Weekly,Sports,Platinum,Australia,Brisbane,Active
CUST_000144,Todd Wilson,david49@example.net,001-211-957-0266,60,Female,2024-06-24,2025-06-07,645.01,Quarterly,Books,Silver,Australia,Melbourne,Inactive
CUST_000145,Bianca Carter,victor94@example.net,304.678.1350,44,Male,2022-05-18,2025-01-01,108.0,Rarely,Clothing,Bronze,USA,Chicago,Inactive
CUST_000146,Michael Barker,robert29@example.org,386.541.2740x1637,55,Male,2024-10-18,2024-12-26,1653.45,Quarterly,Clothing,Gold,Canada,Vancouver,Active
CUST_000147,Michael Crawford,usims@example.net,(669)608-5890x8790,39,Male,2021-11-22,2025-06-17,9772.6,Weekly,Clothing,Platinum,UK,Birmingham,Active
CUST_000148,Nicholas Ochoa,jordan77@example.org,(812)300-2784,42,Male,2020-07-25,2024-08-01,6095.55,Weekly,Home,Platinum,Germany,Frankfurt,Active
CUST_000149,Maria Scott,derek71@example.org,(618)758-2293x9169,51,Female,2024-08-26,2025-06-05,1110.57,Rarely,Clothing,Silver,Canada,Montreal,Active
CUST_000150,Eric White,bjohnson@example.org,8986045433,42,Male,2023-04-16,2024-08-22,747.91,Quarterly,Home,Silver,UK,Birmingham,Churned
CUST_000151,Julie Robles,austin16@example.org,001-252-762-3180x8837,42,Male,2023-06-22,2024-11-11,2802.97,Monthly,Clothing,Gold,UK,Leeds,Active
CUST_000152,Mary Long,john80@example.org,3582829766,49,Female,2025-01-29,2025-04-27,2504.16,Quarterly,Home,Gold,Canada,Ottawa,Inactive
CUST_000153,Lisa Stewart,jennifer94@example.net,736-384-2645,37,Female,2024-10-08,2025-05-20,4120.87,Weekly,Electronics,Platinum,Germany,Frankfurt,Active
CUST_000154,Kristi Case,dterrell@example.org,+1-318-955-8448x69738,46,Female,2023-10-06,2024-10-28,2746.61,Quarterly,Books,Gold,UK,Glasgow,Active
CUST_000155,Amber Lucas,fernandezmark@example.org,460-617-2785,32,Male,2021-05-24,2024-12-29,8054.53,Monthly,Sports,Platinum,Germany,Munich,Inactive
CUST_000156,David Jacobson,kimpeterson@example.net,+1-546-254-1253x35973,43,Female,2024-12-31,2025-01-12,1244.26,Quarterly,Electronics,Silver,Australia,Sydney,Active
CUST_000157,Sarah Butler,zporter@example.org,(965)787-1368,54,Female,2024-04-07,2024-10-22,1911.89,Quarterly,Clothing,Gold,Australia,Brisbane,Active
CUST_000158,Melinda Soto,tylerraymond@example.com,551.203.2868x20233,46,Female,2021-08-29,2024-09-29,835.76,Quarterly,Electronics,Silver,Australia,Adelaide,Active
CUST_000159,Beth Norris,michelle54@example.net,+1-816-345-8637x39638,27,Female,2023-06-12,2025-05-10,4379.84,Quarterly,Sports,Platinum,USA,Houston,Active
CUST_000160,Brittany Morrison,frances54@example.net,276.866.9521,41,Female,2023-10-14,2025-01-22,4901.93,Monthly,Sports,Platinum,USA,New York,Active
CUST_000161,Dennis Romero,newmancarolyn@example.org,+1-255-986-6186x2544,37,Male,2023-08-13,2025-02-02,730.15,Quarterly,Clothing,Silver,UK,Leeds,Churned
CUST_000162,Lynn Castillo,pamela76@example.org,993.458.0837x759,36,Male,2020-12-24,2025-05-12,957.24,Quarterly,Clothing,Silver,Australia,Melbourne,Active
CUST_000163,Dawn Cooper,plee@example.org,001-817-545-1095,54,Female,2022-08-03,2025-01-03,4371.89,Monthly,Books,Platinum,UK,London,Active
