account_id,customer_name,account_type,balance,credit_score,annual_income,account_opening_date,last_transaction_date,transaction_count_monthly,overdraft_count,loan_amount,loan_interest_rate,employment_status,marital_status
ACC_00000033,Kimberly Strickland,Checking,77.55,745,0,2022-05-24,2025-06-12,20,0,33456.83,10.55,Unemployed,Single
ACC_00000034,Wyatt Grant,Savings,2640.99,568,39592,2022-05-13,2025-06-25,17,1,0.0,0.0,Retired,Married
ACC_00000035,Jordan Alvarado,Savings,24245.43,610,92429,2017-11-01,2025-06-24,16,1,0.0,0.0,Employed,Married
ACC_00000036,Robert Robinson,Checking,8177.61,660,117102,2024-06-08,2025-06-21,10,1,244766.17,11.4,Employed,Single
ACC_00000037,Martha Gonzalez DVM,Investment,21676.79,674,107606,2020-11-08,2025-06-30,12,0,0.0,0.0,Employed,Married
ACC_00000038,Mary Gray,Investment,16764.11,699,57938,2016-07-04,2025-06-15,16,1,0.0,0.0,Retired,Single
ACC_00000039,Angela Obrien,Checking,4742.63,768,86798,2017-08-18,2025-06-11,12,1,205771.98,10.32,Self-employed,Married
ACC_00000040,Shawn Berger,Savings,13028.98,660,74994,2020-01-21,2025-06-21,16,1,195696.35,11.4,Self-employed,Single
ACC_00000041,Jeremy Perez,Checking,1166.14,574,84853,2020-08-27,2025-06-23,14,1,0.0,0.0,Employed,Single
ACC_00000042,Christopher Martinez,Investment,48161.73,687,113157,2019-05-30,2025-06-06,16,0,187534.23,11.13,Employed,Married
ACC_00000043,Craig Robles,Checking,4452.62,656,104737,2019-04-01,2025-06-06,12,2,49157.36,11.44,Employed,Married
ACC_00000044,Sherry Taylor,Checking,12.2,773,0,2016-01-18,2025-06-16,16,2,23101.4,10.27,Unemployed,Single
ACC_00000045,Joseph Reed,Checking,8892.51,818,93896,2020-07-19,2025-06-15,14,1,0.0,0.0,Self-employed,Married
ACC_00000046,Daniel Martin,Checking,1511.44,599,77094,2022-01-31,2025-07-02,16,0,218285.19,12.01,Employed,Divorced
ACC_00000047,Michelle Esparza,Checking,11139.97,676,111556,2019-09-22,2025-06-30,21,3,0.0,0.0,Employed,Single
ACC_00000048,Tammy Hernandez,Credit,-718.52,628,48694,2016-09-08,2025-06-07,15,0,0.0,0.0,Retired,Married
ACC_00000049,John Perkins,Checking,3974.9,677,104951,2021-11-15,2025-06-21,17,2,0.0,0.0,Employed,Divorced
ACC_00000050,Amy Richardson,Checking,4272.46,823,138699,2016-03-17,2025-07-04,17,2,0.0,0.0,Employed,Divorced
ACC_00000051,William Flowers,Savings,4233.79,662,15619,2019-02-23,2025-06-26,19,1,75551.77,11.38,Unemployed,Single
ACC_00000052,Jared Garcia,Checking,3259.05,602,33996,2022-08-02,2025-06-28,17,1,0.0,0.0,Retired,Married
ACC_00000053,Ryan Hurst,Investment,31500.93,716,128958,2020-10-10,2025-06-07,17,3,0.0,0.0,Employed,Married
ACC_00000054,Jennifer Wilson,Checking,5778.01,803,106132,2016-02-03,2025-06-25,23,0,0.0,0.0,Self-employed,Married
ACC_00000055,Shawn Cole,Checking,5370.84,624,95493,2018-08-09,2025-07-02,12,1,0.0,0.0,Employed,Married
ACC_00000056,Christopher Cordova,Credit,-1365.33,698,108402,2021-10-30,2025-06-15,19,0,0.0,0.0,Employed,Married
ACC_00000057,Martin Swanson,Savings,20338.41,596,93390,2019-01-02,2025-07-03,19,1,0.0,0.0,Employed,Single
ACC_00000058,Daniel Molina,Checking,1331.18,588,91518,2017-01-06,2025-06-13,12,0,0.0,0.0,Employed,Widowed
ACC_00000059,Gina Santiago,Credit,-4054.9,685,85973,2019-05-12,2025-06-17,17,1,0.0,0.0,Self-employed,Single
ACC_00000060,Juan Matthews,Credit,-365.64,720,84904,2018-08-16,2025-07-04,13,0,0.0,0.0,Self-employed,Married
ACC_00000061,Brian Walker,Savings,23829.44,758,86060,2016-05-06,2025-06-24,14,0,0.0,0.0,Self-employed,Married
ACC_00000062,Stephanie Hughes,Credit,-2715.6,680,29126,2021-05-09,2025-07-03,15,0,36436.06,11.2,Retired,Married
ACC_00000063,Theodore Lewis,Investment,1350.28,794,5475,2022-08-17,2025-06-18,16,4,0.0,0.0,Unemployed,Single
ACC_00000064,Aaron Diaz,Savings,32113.09,784,118801,2018-11-18,2025-06-05,16,0,0.0,0.0,Employed,Single
ACC_00000065,Gary Jones,Savings,15300.2,626,108341,2020-09-25,2025-06-26,20,0,0.0,0.0,Employed,Married
ACC_00000066,Shawn Perry,Checking,4668.97,469,50360,2019-11-25,2025-06-13,14,1,0.0,0.0,Self-employed,Married
ACC_00000067,Mariah Smith,Checking,3187.07,737,104314,2017-12-05,2025-06-10,11,0,0.0,0.0,Employed,Single
ACC_00000068,Stacy Adams,Checking,1349.43,625,71358,2016-12-06,2025-06-23,18,0,0.0,0.0,Self-employed,Single
ACC_00000069,Jared Bishop,Checking,1708.38,651,105049,2020-11-29,2025-06-23,19,1,0.0,0.0,Employed,Divorced
ACC_00000070,Andrea Reynolds,Checking,7572.27,665,87510,2023-12-31,2025-06-21,22,0,0.0,0.0,Employed,Single
ACC_00000071,Alicia Church,Credit,-4958.98,738,25598,2020-05-27,2025-07-01,19,0,17463.16,10.62,Retired,Married
ACC_00000072,Elizabeth Pace,Savings,19286.06,706,111291,2019-04-10,2025-06-10,17,0,0.0,0.0,Employed,Married
ACC_00000073,Caleb Solis,Savings,32240.22,697,116860,2020-10-03,2025-07-03,14,2,0.0,0.0,Employed,Divorced
ACC_00000074,Charlene Lloyd,Checking,4460.44,669,111466,2015-09-27,2025-06-08,14,2,0.0,0.0,Employed,Divorced
ACC_00000075,Lisa Sims,Checking,8851.97,628,91686,2023-10-21,2025-07-04,13,0,0.0,0.0,Employed,Divorced
ACC_00000076,Emily Gaines,Savings,1769.67,665,96647,2023-02-24,2025-06-12,14,0,114160.38,11.35,Employed,Single
ACC_00000077,John Reid,Credit,-2322.01,715,94427,2022-08-25,2025-06-18,16,1,0.0,0.0,Self-employed,Single
ACC_00000078,Casey Cox,Credit,-4464.29,757,126375,2018-01-09,2025-06-23,14,1,237974.35,10.43,Employed,Married
ACC_00000079,Jasmin Bishop,Investment,29913.16,609,95607,2020-12-06,2025-07-03,12,0,0.0,0.0,Employed,Divorced
ACC_00000080,Becky Martinez,Checking,3384.79,761,86463,2015-09-23,2025-06-12,16,0,0.0,0.0,Self-employed,Married
ACC_00000081,Brandon Washington,Savings,22375.43,745,138379,2024-09-11,2025-07-02,14,2,353190.99,10.55,Employed,Single
ACC_00000082,Sherry Holt,Savings,23234.87,689,109267,2020-03-16,2025-06-21,13,1,179780.98,11.11,Employed,Married
ACC_00000083,Charles Wood,Savings,5798.54,660,67510,2019-09-07,2025-06-25,20,1,0.0,0.0,Employed,Single
ACC_00000084,Gerald Campbell,Savings,6709.09,628,31319,2022-12-19,2025-06-09,17,0,0.0,0.0,Retired,Married
ACC_00000085,Amanda Rojas,Checking,7297.29,746,126331,2024-05-02,2025-06-12,19,0,117672.32,10.54,Employed,Single
ACC_00000086,Jasmine Nguyen,Savings,23797.76,812,149734,2017-07-03,2025-06-09,22,1,0.0,0.0,Employed,Married
ACC_00000087,Lawrence Gomez,Savings,15296.52,678,109290,2019-10-18,2025-06-13,8,1,0.0,0.0,Employed,Married
ACC_00000088,Victor Chavez,Credit,-4916.41,835,126261,2023-10-09,2025-06-09,12,0,84032.98,9.65,Employed,Single
ACC_00000089,Bob Johnson,Savings,9329.62,742,33913,2015-07-14,2025-06-29,19,2,36054.05,10.58,Retired,Married
ACC_00000090,John Sanchez,Savings,4818.51,687,121264,2020-02-24,2025-06-30,12,0,48429.08,11.13,Employed,Single
ACC_00000091,James Duke,Savings,9989.34,795,116896,2017-09-27,2025-06-19,13,1,0.0,0.0,Employed,Divorced
ACC_00000092,Donna Walter,Savings,3515.52,561,40569,2024-04-28,2025-06-24,19,2,0.0,0.0,Retired,Single
ACC_00000093,James Lewis,Savings,16256.93,775,61757,2016-07-28,2025-06-26,6,0,216651.63,10.25,Retired,Married
ACC_00000094,John Spears,Savings,9114.01,803,50936,2025-04-16,2025-06-05,11,0,0.0,0.0,Retired,Divorced
ACC_00000095,Margaret Tucker,Savings,12648.12,839,47632,2019-12-31,2025-07-03,10,1,0.0,0.0,Retired,Divorced
ACC_00000096,Kimberly Golden,Savings,35579.34,773,127011,2016-04-14,2025-06-06,13,3,0.0,0.0,Employed,Single
ACC_00000097,Amy Jackson,Checking,2440.1,828,45874,2018-02-27,2025-06-10,11,1,0.0,0.0,Retired,Single
ACC_00000098,Mary Torres,Credit,-3351.14,633,99601,2020-10-15,2025-06-27,12,0,0.0,0.0,Employed,Single
ACC_00000099,Erica Wright,Credit,-584.18,546,71570,2024-07-09,2025-06-28,15,1,0.0,0.0,Employed,Single
ACC_00000100,Andrea Cruz,Savings,5695.68,741,119006,2018-08-15,2025-06-30,10,0,30944.08,10.59,Employed,Single
ACC_00000101,Deborah Myers,Credit,-2311.72,694,21285,2021-06-23,2025-06-24,13,4,0.0,0.0,Retired,Single
ACC_00000102,Julia Garcia,Savings,10368.64,635,84796,2018-05-28,2025-06-09,15,0,0.0,0.0,Self-employed,Divorced
ACC_00000103,Mary Lawrence,Savings,23784.43,671,120687,2020-03-23,2025-06-05,19,0,0.0,0.0,Employed,Divorced
ACC_00000104,David Rogers,Savings,9799.39,623,114923,2021-10-21,2025-06-25,16,0,271583.49,11.77,Employed,Married
ACC_00000105,Michael Ortega,Checking,819.44,770,104663,2021-02-10,2025-06-06,13,0,0.0,0.0,Self-employed,Widowed
ACC_00000106,Zachary Taylor,Checking,1038.12,696,24954,2023-05-10,2025-06-14,12,1,0.0,0.0,Retired,Single
ACC_00000107,Michael Barrett,Checking,6768.02,655,98314,2025-02-07,2025-07-04,18,0,205739.56,11.45,Employed,Single
ACC_00000108,Brenda Hughes,Savings,14477.74,814,51593,2020-09-13,2025-07-01,16,1,152189.75,9.86,Retired,Single
ACC_00000109,Mackenzie Klein,Credit,-160.46,714,78399,2020-04-11,2025-06-30,21,0,0.0,0.0,Self-employed,Single
ACC_00000110,Mr. Marcus Leblanc,Credit,-338.23,724,117321,2020-01-04,2025-06-28,10,2,239420.5,10.76,Employed,Single
ACC_00000111,Chris Stephens,Savings,8227.21,682,112718,2021-07-23,2025-06-16,12,1,0.0,0.0,Employed,Married
ACC_00000112,Rebecca Brooks,Checking,3615.62,601,94121,2025-06-18,2025-06-09,12,2,0.0,0.0,Employed,Single
ACC_00000113,Jennifer Massey,Savings,25757.05,706,91404,2024-03-24,2025-06-10,18,1,164253.89,10.94,Self-employed,Married
ACC_00000114,Jimmy Barnes,Checking,1083.35,593,31639,2015-08-07,2025-07-02,12,0,0.0,0.0,Retired,Single
ACC_00000115,Brian Hernandez,Savings,5541.87,666,110353,2024-01-05,2025-06-15,23,1,27840.17,11.34,Employed,Married
ACC_00000116,Kristen Lewis,Savings,1520.58,589,62810,2022-07-30,2025-06-06,20,0,0.0,0.0,Employed,Married
ACC_00000117,Jeffrey Rogers,Checking,1817.85,654,35250,2024-02-01,2025-06-27,5,0,0.0,0.0,Retired,Married
ACC_00000118,Mike Reed,Checking,5702.08,551,73057,2016-11-22,2025-06-11,10,2,0.0,0.0,Employed,Single
ACC_00000119,Heidi Williams,Checking,4633.12,744,117040,2022-09-04,2025-06-17,7,0,0.0,0.0,Employed,Married
ACC_00000120,Connie Perez,Credit,-3682.3,686,37632,2025-02-14,2025-06-15,16,2,0.0,0.0,Retired,Divorced
ACC_00000121,Jacob Hall,Checking,338.1,675,102631,2019-02-26,2025-06-15,8,1,0.0,0.0,Employed,Single
ACC_00000122,Kathryn Carpenter,Checking,177.7,699,2170,2024-10-31,2025-06-19,11,1,23309.02,11.01,Unemployed,Married
ACC_00000123,Joshua Jackson,Checking,1449.92,776,39194,2016-03-11,2025-06-21,15,2,0.0,0.0,Retired,Single
ACC_00000124,Mrs. Margaret Simon,Checking,12348.82,705,124238,2021-01-20,2025-06-13,20,1,0.0,0.0,Employed,Married
ACC_00000125,Steven Harding,Checking,1938.74,806,142105,2016-10-17,2025-07-02,13,2,0.0,0.0,Employed,Married
ACC_00000126,Frank Hood,Checking,5159.76,692,105903,2024-08-31,2025-07-03,11,0,242540.74,11.08,Employed,Married
ACC_00000127,Mary Brown,Checking,846.19,675,113697,2017-02-03,2025-06-11,18,2,62439.26,11.25,Employed,Single
ACC_00000128,Jonathan Rasmussen,Savings,4860.06,846,139781,2025-01-12,2025-06-13,8,0,414978.85,9.54,Employed,Single
ACC_00000129,Cindy Rodriguez,Credit,-4795.79,756,48239,2021-06-04,2025-06-20,8,1,0.0,0.0,Retired,Divorced
ACC_00000130,Bryan Cohen,Checking,3750.31,576,84942,2019-03-31,2025-06-28,16,1,0.0,0.0,Employed,Married
ACC_00000131,Mary Williams,Savings,501.05,839,53159,2016-10-10,2025-06-14,18,1,0.0,0.0,Retired,Single
ACC_00000132,Christopher Rice,Credit,-3956.98,686,79993,2023-01-31,2025-06-17,19,0,0.0,0.0,Self-employed,Single
ACC_00000133,John Anderson,Credit,-2715.12,803,48676,2018-05-27,2025-06-09,11,2,0.0,0.0,Retired,Married
ACC_00000134,Jason Price,Checking,6993.72,850,111303,2023-08-15,2025-07-04,14,2,208265.96,9.5,Self-employed,Married
ACC_00000135,Sharon Williams,Checking,7499.62,796,124262,2018-01-31,2025-06-23,17,2,0.0,0.0,Employed,Single
ACC_00000136,Erika Long,Checking,4398.45,795,48361,2024-11-27,2025-06-21,18,3,126162.25,10.05,Retired,Single
ACC_00000137,Megan Moses,Savings,29421.27,691,119334,2021-03-19,2025-06-08,12,0,0.0,0.0,Employed,Single
ACC_00000138,Kimberly Harrison,Savings,5931.61,756,104760,2015-09-16,2025-06-18,14,0,67480.3,10.44,Employed,Married
ACC_00000139,Shawn Smith,Credit,-1385.05,713,84911,2022-05-19,2025-06-28,15,1,272238.29,10.87,Self-employed,Single
ACC_00000140,Christopher Adams,Checking,237.71,727,122036,2020-07-02,2025-06-09,20,1,0.0,0.0,Employed,Married
ACC_00000141,Jessica Perez,Credit,-398.76,734,108645,2018-12-20,2025-06-06,13,1,0.0,0.0,Employed,Married
ACC_00000142,Steven Cole,Checking,3665.76,627,90331,2023-09-11,2025-06-26,21,2,101067.63,11.73,Employed,Married
ACC_00000143,Katrina Harris,Investment,14394.0,752,111765,2022-07-20,2025-06-07,10,4,0.0,0.0,Employed,Married
ACC_00000144,Nicholas Campbell,Checking,6050.54,607,97160,2024-03-07,2025-06-07,13,0,0.0,0.0,Self-employed,Widowed
ACC_00000145,Stanley Walker,Savings,8814.04,733,106224,2016-12-02,2025-06-10,11,1,0.0,0.0,Employed,Married
ACC_00000146,Adam Nelson,Checking,8824.32,826,132398,2021-03-10,2025-06-12,18,2,0.0,0.0,Employed,Single
ACC_00000147,Stephanie Perry,Savings,14249.04,671,96244,2016-03-02,2025-06-13,13,2,0.0,0.0,Employed,Married
ACC_00000148,Anthony Torres,Investment,25259.11,623,98925,2021-11-03,2025-06-22,18,2,0.0,0.0,Employed,Single
ACC_00000149,David Melton,Savings,11091.04,649,72316,2016-07-25,2025-06-09,14,0,195253.87,11.51,Self-employed,Single
ACC_00000150,Amanda Jackson,Savings,11090.51,672,98954,2018-08-08,2025-06-18,14,0,0.0,0.0,Employed,Married
ACC_00000151,Jeffrey Cabrera,Savings,27011.31,645,122207,2023-04-08,2025-06-20,17,3,0.0,0.0,Employed,Widowed
ACC_00000152,Dana Douglas,Savings,2825.86,696,101670,2021-12-09,2025-06-17,10,0,0.0,0.0,Employed,Divorced
ACC_00000153,Deborah Lloyd,Savings,1467.8,762,124455,2021-09-08,2025-06-18,17,0,0.0,0.0,Employed,Single
ACC_00000154,Kelsey Hernandez,Savings,3427.0,726,19555,2015-08-13,2025-06-25,18,1,55952.05,10.74,Unemployed,Married
ACC_00000155,Matthew Calderon,Savings,2146.11,607,102237,2019-08-17,2025-06-21,16,0,0.0,0.0,Employed,Married
ACC_00000156,Ronald Murphy,Investment,2541.05,789,149274,2018-04-18,2025-06-11,15,2,0.0,0.0,Employed,Divorced
ACC_00000157,Christopher Smith,Credit,-2503.24,704,118878,2016-10-14,2025-06-27,16,1,0.0,0.0,Employed,Married
ACC_00000158,Jennifer Rodriguez,Credit,-3086.88,695,105741,2018-06-17,2025-06-06,14,1,102503.14,11.05,Employed,Single
ACC_00000159,Crystal Khan,Savings,14150.65,668,101806,2024-05-16,2025-06-15,16,1,0.0,0.0,Employed,Single
ACC_00000160,Peter Johnson,Checking,7207.49,586,88015,2020-05-13,2025-06-15,17,0,0.0,0.0,Employed,Married
ACC_00000161,Adam Pierce,Savings,14678.31,746,128235,2023-04-21,2025-06-14,10,2,0.0,0.0,Employed,Married
ACC_00000162,Kyle Hall,Savings,7674.29,839,42266,2021-12-02,2025-06-16,14,1,0.0,0.0,Retired,Single
ACC_00000163,Brandon Aguilar,Savings,32842.7,850,138878,2023-11-27,2025-07-03,16,1,96638.02,9.5,Employed,Single
ACC_00000164,Dawn Jordan,Investment,23239.6,709,77562,2018-09-28,2025-06-12,17,0,0.0,0.0,Self-employed,Single
ACC_00000165,Allison Thomas,Checking,11996.61,747,121733,2020-08-05,2025-06-19,20,0,235892.93,10.53,Employed,Single
ACC_00000166,Cynthia Morgan,Credit,-2893.81,644,91634,2022-04-08,2025-06-11,16,3,0.0,0.0,Employed,Widowed
ACC_00000167,Susan Moore,Credit,-4131.16,732,139741,2018-04-25,2025-06-26,16,0,0.0,0.0,Employed,Married
ACC_00000168,Clifford Neal,Savings,18299.23,850,135970,2016-06-23,2025-06-14,19,1,0.0,0.0,Employed,Single
ACC_00000169,Debbie Jackson,Checking,13230.69,833,152768,2024-02-04,2025-06-30,20,0,0.0,0.0,Employed,Married
ACC_00000170,Jay Hill,Investment,250.36,762,0,2020-11-29,2025-06-26,17,1,0.0,0.0,Unemployed,Married
ACC_00000171,Jessica Molina,Credit,-248.91,559,87303,2019-07-14,2025-06-30,15,1,0.0,0.0,Employed,Divorced
ACC_00000172,Mr. Benjamin Gill PhD,Checking,171.84,782,102777,2020-03-02,2025-06-11,14,0,0.0,0.0,Self-employed,Married
ACC_00000173,Gloria Martinez,Checking,12032.97,818,134214,2016-09-07,2025-06-11,11,1,0.0,0.0,Employed,Single
ACC_00000174,Jason Diaz,Investment,28799.45,731,61264,2020-08-12,2025-06-20,12,0,0.0,0.0,Retired,Single
ACC_00000175,Joshua Johnson,Credit,-1162.36,816,61621,2021-02-09,2025-07-04,15,1,0.0,0.0,Retired,Married
ACC_00000176,Mrs. Julie Smith DVM,Checking,7687.95,684,113916,2016-12-19,2025-06-25,23,1,0.0,0.0,Employed,Single
ACC_00000177,David Graves,Checking,260.35,574,83635,2016-08-04,2025-06-30,15,0,0.0,0.0,Employed,Married
ACC_00000178,Kristin Harris,Credit,-183.27,714,68511,2019-05-29,2025-06-15,17,0,0.0,0.0,Self-employed,Married
ACC_00000179,Aaron Jenkins,Checking,5749.13,573,77945,2022-07-26,2025-06-22,18,2,0.0,0.0,Employed,Single
ACC_00000180,Janice Morgan,Checking,3110.42,683,37307,2023-09-28,2025-06-23,19,2,129707.61,11.17,Retired,Married
ACC_00000181,Stacey Carter,Credit,-3814.7,833,137514,2017-12-10,2025-06-09,11,0,0.0,0.0,Employed,Married
ACC_00000182,Lawrence Barnes,Investment,28477.9,762,96976,2018-02-24,2025-06-08,14,1,0.0,0.0,Self-employed,Widowed
ACC_00000183,Jonathan Evans,Credit,-2994.6,773,123162,2022-05-05,2025-07-04,20,1,0.0,0.0,Employed,Single
ACC_00000184,Katrina Martin,Credit,-1522.45,766,40911,2024-07-23,2025-06-20,19,0,0.0,0.0,Retired,Married
ACC_00000185,Melissa Carr,Checking,3096.72,723,46303,2021-04-24,2025-06-07,8,2,0.0,0.0,Retired,Married
ACC_00000186,Susan Moore,Credit,-903.18,558,73665,2015-09-03,2025-06-28,20,0,0.0,0.0,Employed,Divorced
ACC_00000187,David Ford,Checking,7794.66,779,90241,2018-03-10,2025-06-10,14,2,0.0,0.0,Self-employed,Divorced
ACC_00000188,Nicole Rich,Checking,5266.24,752,77862,2020-09-01,2025-06-07,19,0,0.0,0.0,Self-employed,Married
ACC_00000189,Kristie Vargas,Savings,3676.71,771,91472,2023-01-09,2025-06-13,15,1,215304.27,10.29,Self-employed,Married
ACC_00000190,Tracey Ellis,Credit,-1174.22,682,89275,2019-11-28,2025-07-02,11,0,0.0,0.0,Employed,Divorced
ACC_00000191,Janet Garcia,Savings,378.68,592,0,2018-12-08,2025-07-04,13,0,0.0,0.0,Unemployed,Married
ACC_00000192,Kimberly Jackson,Credit,-1188.52,670,117155,2020-06-04,2025-06-16,14,1,0.0,0.0,Employed,Widowed
ACC_00000193,Lisa Weber,Credit,-241.37,655,100229,2020-05-18,2025-06-24,17,1,0.0,0.0,Employed,Married
ACC_00000194,Amy Stanley,Checking,1057.1,791,114609,2018-04-28,2025-06-14,19,2,0.0,0.0,Employed,Married
ACC_00000195,Andrew Delacruz,Savings,12313.81,586,43030,2021-07-28,2025-06-05,16,0,0.0,0.0,Retired,Married
ACC_00000196,Steve Hamilton,Savings,4068.53,679,99524,2017-07-20,2025-06-29,13,1,0.0,0.0,Employed,Single
ACC_00000197,Andrea Thomas,Savings,763.76,587,51017,2023-09-01,2025-06-16,15,0,0.0,0.0,Retired,Married
ACC_00000198,Jeffrey Morgan,Checking,3064.15,684,110390,2023-07-10,2025-06-28,13,1,0.0,0.0,Employed,Divorced
ACC_00000199,Ashley Hicks,Credit,-4869.71,611,99206,2017-08-05,2025-06-17,14,0,148273.85,11.89,Employed,Single
ACC_00000200,Paul Roberts,Savings,6639.57,724,118146,2019-04-21,2025-06-07,16,0,262764.27,10.76,Employed,Single
ACC_00000201,Jamie Garcia,Savings,28547.33,715,111949,2018-10-14,2025-06-17,11,0,0.0,0.0,Employed,Divorced
ACC_00000202,Mary Brown,Savings,22013.3,747,118784,2016-10-19,2025-06-07,16,1,0.0,0.0,Employed,Divorced
ACC_00000203,Krystal Gilbert,Credit,-2252.58,677,81964,2019-06-29,2025-06-14,23,0,0.0,0.0,Self-employed,Divorced
ACC_00000204,Joseph Taylor,Checking,672.99,610,39309,2025-04-17,2025-06-26,24,1,0.0,0.0,Retired,Single
ACC_00000205,Joshua Jackson,Credit,-2237.0,598,79949,2023-06-02,2025-06-17,9,0,227282.63,12.02,Self-employed,Married
ACC_00000206,Eric Lyons,Checking,3021.46,674,50487,2016-10-20,2025-06-25,15,1,0.0,0.0,Retired,Single
ACC_00000207,Maria Martin,Credit,-2088.39,801,106201,2024-06-18,2025-07-03,12,1,201297.48,9.99,Employed,Single
ACC_00000208,Lisa Rogers,Savings,33292.55,764,132943,2022-01-09,2025-06-10,16,2,59981.4,10.36,Employed,Married
ACC_00000209,Adam Woodward,Credit,-3845.39,684,105122,2016-07-16,2025-06-22,15,0,23525.91,11.16,Employed,Married
ACC_00000210,Mark Hughes,Savings,11455.39,738,132838,2024-10-31,2025-06-14,13,2,196183.27,10.62,Employed,Married
ACC_00000211,Jonathan Howard,Checking,7055.03,815,125507,2018-01-18,2025-06-10,19,0,0.0,0.0,Employed,Single
ACC_00000212,Edwin Durham,Checking,3262.37,822,123350,2019-06-24,2025-06-14,9,0,0.0,0.0,Employed,Married
ACC_00000213,Christian Lewis,Checking,3630.82,718,85490,2024-01-10,2025-06-27,10,1,0.0,0.0,Self-employed,Widowed
ACC_00000214,Jonathan Baker,Credit,-1059.65,631,105269,2023-11-28,2025-07-03,15,1,19102.89,11.69,Employed,Married
