employee_id,first_name,last_name,email,department,job_level,salary,hire_date,age,performance_rating,remote_work,country,years_experience
3962335,Melissa,Lee,fellis@example.net,Sales,Manager,143187.0,2012-07-07 23:34:29.739772,33,Needs Improvement,False,USA,8
11792055,Cynthia,Brown,wford@example.org,Marketing,Director,199825.0,2025-07-04 23:34:29.739856,43,Satisfactory,True,USA,22
9664909,Paige,Ferguson,turnerdavid@example.net,Marketing,Manager,90545.0,2008-07-08 23:34:29.739940,46,Excellent,False,Germany,9
13674825,Anthony,Espinoza,vlin@example.com,Marketing,Lead,75377.1799562516,2023-07-05 23:34:29.740025,33,Needs Improvement,True,Australia,13
4845925,Steven,Johnson,bmoore@example.org,Marketing,Senior,36550.77621941726,2021-07-05 23:34:29.740125,27,Needs Improvement,True,UK,32
7370654,Michael,Tran,grayyvonne@example.com,HR,Junior,74814.98235758096,2008-07-08 23:34:29.740215,37,Satisfactory,False,UK,5
821389,Jo,Webb,rachelmarshall@example.org,Design,Junior,35256.75152516591,2023-07-05 23:34:29.740303,26,Good,False,Germany,31
8433608,Kayla,Murphy,ericchavez@example.net,Design,Senior,52510.22669410573,2014-07-07 23:34:29.740391,39,Excellent,False,UK,45
1320562,Kevin,Perez,johnlee@example.com,Design,Junior,65956.45164667038,2023-07-05 23:34:29.740476,32,Satisfactory,True,Germany,25
10994340,Benjamin,Anderson,andrewdaniels@example.net,Design,Manager,142637.0,2020-07-05 23:34:29.740565,40,Needs Improvement,False,UK,28
12126750,Patricia,Simmons,ggreen@example.net,Legal,Director,198332.0,2021-07-05 23:34:29.740650,32,Good,True,Canada,8
3588511,Michael,Sanchez,ytorres@example.org,Finance,Lead,62525.64876268262,2023-07-05 23:34:29.740734,38,Needs Improvement,True,Germany,29
14011592,Melissa,Cook,gutierrezmonica@example.com,HR,Lead,37463.24518049579,2019-07-06 23:34:29.740820,24,Good,True,Germany,1
2909024,Nicholas,Randolph,jesse88@example.com,HR,Junior,39796.64542409422,2014-07-07 23:34:29.740907,29,Good,False,USA,26
9863661,Matthew,Li,astephens@example.net,Finance,Junior,71375.4772058549,2011-07-08 23:34:29.740993,36,Excellent,True,USA,4
5018731,Joanna,Allen,brandon86@example.org,Design,Director,170089.0,2018-07-06 23:34:29.741080,51,Good,False,UK,8
8444241,Tiffany,Whitney,ocantrell@example.net,Operations,VP,55503.24861114438,2017-07-06 23:34:29.741165,34,Satisfactory,False,Canada,25
12668612,Justin,Martinez,kathleenlarsen@example.com,Design,Lead,45031.06098156543,2021-07-05 23:34:29.741248,25,Excellent,True,Canada,29
6309052,Robert,Wilson,goodtonya@example.org,Engineering,Manager,145925.0,2022-07-05 23:34:29.741332,30,Good,True,UK,18
1911050,Marcus,Black,emmaboyd@example.net,Design,Lead,60893.25916582937,2024-07-04 23:34:29.741416,26,Good,True,UK,15
813888,Ashley,Bryant,tiffany70@example.org,Design,VP,50679.06935889535,2009-07-08 23:34:29.741499,35,Satisfactory,True,Australia,18
4539415,Selena,Owens,stephaniebrown@example.com,Marketing,Junior,32145.24152380645,2022-07-05 23:34:29.741595,22,Satisfactory,True,UK,7
6878760,Beth,Brown,qbrown@example.net,Finance,Lead,41730.96033252609,2021-07-05 23:34:29.741679,30,Needs Improvement,False,Germany,8
5065724,Jeffery,Villanueva,hyork@example.org,Operations,Lead,66327.71295494662,2012-07-07 23:34:29.741762,34,Good,True,UK,33
111278,Eric,Matthews,michaelmartin@example.com,Design,Lead,55024.544083361376,2017-07-06 23:34:29.741845,29,Good,True,Canada,12
10875052,Joshua,Foster,powellteresa@example.org,Design,Lead,109013.68934396346,2023-07-05 23:34:29.741930,55,Good,False,Australia,6
8849160,Gordon,Dominguez,rebecca01@example.org,Sales,Lead,51091.67270762806,2015-07-07 23:34:29.742015,33,Good,False,USA,26
15641686,Rachel,Brooks,terrykevin@example.com,Marketing,Director,203709.0,2019-07-06 23:34:29.742103,26,Satisfactory,True,UK,26
2648681,Richard,Austin,cnelson@example.net,Finance,Senior,80892.89631602837,2014-07-07 23:34:29.742191,45,Good,True,USA,19
2022508,David,Atkins,diazronald@example.com,Engineering,Junior,62404.73583972099,2018-07-06 23:34:29.742279,36,Needs Improvement,False,Germany,22
9062256,Katrina,Wilson,bethmills@example.net,Engineering,Senior,84906.95508443567,2015-07-07 23:34:29.742364,46,Good,True,USA,10
7123294,Paul,Rodriguez,jillian81@example.net,Finance,VP,52285.64881069786,2003-07-10 23:34:29.742448,41,Satisfactory,True,Australia,5
4737467,Bethany,Pace,nguerrero@example.com,Operations,Senior,56253.152945639435,2006-07-09 23:34:29.742533,38,Satisfactory,False,UK,18
833620,Michael,Mcdonald,vprice@example.org,Operations,Director,207092.0,2022-07-05 23:34:29.742621,22,Good,True,Canada,19
16727793,David,Berry,austin31@example.com,HR,Junior,78359.25673514215,1996-07-11 23:34:29.742705,51,Good,True,USA,25
1743041,Tyler,Manning,martinemily@example.com,Legal,Director,190628.0,2018-07-06 23:34:29.742791,26,Satisfactory,True,UK,22
5830711,Todd,Pham,cmiller@example.net,HR,Junior,25000.0,2022-07-05 23:34:29.742879,22,Needs Improvement,True,Germany,15
16123574,Christine,Harmon,kim91@example.net,Design,Junior,42892.682838831475,2017-07-06 23:34:29.742965,40,Excellent,True,Germany,10
15684350,Stephanie,Blair,ogarrison@example.com,Engineering,Manager,133250.0,2015-07-07 23:34:29.743051,32,Good,False,Germany,16
11723690,Sandy,Peterson,jeremytravis@example.org,Engineering,Manager,97436.0,2024-07-04 23:34:29.743137,22,Good,False,USA,14
5611786,Chloe,Hurley,brett60@example.org,Operations,Director,191435.0,2017-07-06 23:34:29.743221,30,Good,True,Australia,6
14321764,Andrew,Tran,bfrazier@example.com,Operations,Director,125914.0,2016-07-06 23:34:29.743306,32,Excellent,False,Germany,29
6333766,Timothy,Cooley,todd47@example.com,HR,Manager,84404.0,2016-07-06 23:34:29.743392,37,Satisfactory,True,UK,31
9909094,Jessica,Benitez,salazarbrent@example.net,Marketing,VP,58756.10012294432,2021-07-05 23:34:29.743488,38,Satisfactory,False,Australia,25
